ACL,BCM,Types,Size
SRC_MAC,bcmFieldQualifySrcMac,db_acl_srcmac_mask_t,96
DST_MAC,bcmFieldQualifyDstMac,db_acl_dstmac_mask_t,96
ETHER_TYPE,bcmFieldQualifyEtherType,db_acl_ethertype_t,16
OUTER_VLAN,bcmFieldQualifyOuterVlan,db_acl_outervlan_mask_t,32
L2_STATION_MOVE,bcmFieldQualifyL2StationMove,db_acl_l2stationmove_mask_t,16
ING_STP_STATE,bcmFieldQualifyIngressStpState,db_acl_ingstpstate_mask_t,16,
INTERFACE_CLASS_L2,bcmFieldQualifyInterfaceClassL2,db_acl_intclassl2_mask_t,16
FORWARDING_VLAN_VALID,bcmFieldQualifyForwardingVlanValid,db_acl_fwdvlanvalid_mask_t,16
IP_SRC,bcmFieldQualifySrcIp,db_acl_srcip_mask_t,64
IP_DST,bcmFieldQualifyDstIp,db_acl_dstip_mask_t,64
IP6_SRC,bcmFieldQualifySrcIp6,db_acl_srcip6_mask_t,256
IP6_DST,bcmFieldQualifyDstIp6,db_acl_dstip6_mask_t,256
IP_PROTOCOL,bcmFieldQualifyIpProtocol,db_acl_ipproto_mask_t,16
IP_FRAG,bcmFieldQualifyIpFrag,db_acl_ip_frag_mask_t,32
IP_FLAGS,bcmFieldQualifyIpFlags,db_acl_ipflags_mask_t,16
TTL,bcmFieldQualifyTtl,db_acl_ipttl_mask_t,16
DSCP,bcmFieldQualifyDSCP,db_acl_dscp_mask_t,16
ICMP_TYPE_CODE,bcmFieldQualifyIcmpTypeCode,db_acl_icmp_mask_t,64
IN_PORT,bcmFieldQualifyInPort,db_acl_inport_mask_t,64
SRC_L4_PORT,bcmFieldQualifyL4SrcPort,db_acl_l4srcport_mask_t,64
DST_L4_PORT,bcmFieldQualifyL4DstPort,db_acl_l4dstport_mask_t,64
TCP_CONTROL,bcmFieldQualifyTcpControl,db_acl_tcpcontrol_mask_t,16
TUNNEL_TYPE,bcmFieldQualifyTunnelType,db_acl_tunnel_type_t,32




